-2.302464386296573906e+01,-8.088138621788885985e+00,-9.296804232372595678e+00,-1.897907862986960836e+01,-1.512876363993657591e+01,-1.315723906230085660e+01,-1.062350432741245143e+01,-1.265694914590573816e+01,-1.033543843483141877e+01,-1.536805552515454920e+01,-9.697394630066026977e+00,-9.492871799093958174e+00
-1.731284624481309820e+01,-1.373359843371602551e+01,-8.684931364291607281e+00,-1.439936317666452581e+01,-1.897073169385809877e+01,-1.526568586385309345e+01,-1.535068896760391866e+01,-2.159327968013725396e+01,-1.515964367427737614e+01,-1.449991131532789801e+01,-1.092091739214117752e+01,-1.557465941635650175e+01
-1.782159032535739485e+01,-1.753708146250337663e+01,-1.074689623297198793e+01,-1.263286710772791821e+01,-1.810454186323684667e+01,-1.454765663067195902e+01,-1.399327983744314885e+01,-1.189655232250036931e+01,-1.394861359150097080e+01,-1.076405134394352636e+01,-1.620738017393119534e+01,-1.947288762996331712e+01
-1.524878376388296886e+01,-9.576029689946699008e+00,-2.041142362074963756e+01,-1.154048682476138232e+01,-1.804363836045790137e+01,-1.886575843755344550e+01,-1.370016342067988724e+01,-1.579017040312304765e+01,-8.498881564056496529e+00,-1.964382655372388342e+01,-1.319145119181093229e+01,-1.394972778868646301e+01
-3.534805292610771943e+01,-1.067752597342226650e+01,-1.285518093193804390e+01,-1.664113169718208241e+01,-1.960720613348140162e+01,-3.002756030860211212e+01,-1.853272458205711359e+01,-2.884191963368819955e+01,-1.490201391382535689e+01,-1.410563067658014269e+01,-1.381055896874610056e+01,-1.881960787138361368e+01
-1.954628383926818813e+01,-8.895804557101481436e+00,-9.111413353473404086e+00,-2.155716848137523201e+01,-2.657418009446699614e+01,-3.184372071824766692e+01,-2.277462695161206696e+01,-2.243617361342533201e+01,-1.645740207050382509e+01,-2.167951649055857999e+01,-2.802726087621357109e+01,-1.415144943695299240e+01
-1.356929432106137590e+01,-9.715999257777971465e+00,-9.854320374659797821e+00,-3.257267050766242988e+01,-2.425606794666616395e+01,-3.194246083040438222e+01,-1.970013125389886000e+01,-1.784310228004731869e+01,-1.637976819026343378e+01,-1.612983865286881624e+01,-1.348682344540558908e+01,-9.960248356383678114e+00
-1.136912450357001880e+01,-1.358104022627403751e+01,-1.792686688037831289e+01,-1.669431025450720796e+01,-2.080534113797346762e+01,-2.089467896404683245e+01,-2.327350132721950260e+01,-2.190587403669510991e+01,-1.896382787538997405e+01,-1.364739754858725185e+01,-9.300748497261405845e+00,-1.821451815112488148e+01
-1.687789492796594715e+01,-1.028761348492337468e+01,-1.307766732515427677e+01,-1.740536352962211453e+01,-2.988553024908487998e+01,-1.750995230745674291e+01,-2.127081026501466354e+01,-2.239181751164557710e+01,-1.387247991256645818e+01,-1.623246233505829039e+01,-1.725334058685455574e+01,-1.360413930581352737e+01
-1.378522615392279427e+01,-9.918512109037475710e+00,-2.125602978133751009e+01,-2.166190975140714770e+01,-2.745425174231748500e+01,-1.606421141494731231e+01,-1.953557827352370779e+01,-1.391659886084517517e+01,-1.212354126879404070e+01,-2.259153302007632647e+01,-1.302797510795377534e+01,-1.552435382523250951e+01
-1.247843091319123587e+01,-1.335010122316845127e+01,-1.430245222773404734e+01,-1.346153430827343733e+01,-1.391556081944714762e+01,-1.330355937664547028e+01,-2.020167871649619684e+01,-8.992469584072175337e+00,-2.252251506705605166e+01,-1.212038700762393439e+01,-5.173458122088271161e+00,-1.533563360962613231e+01
