-1.019796564092553659e+01,-4.889808495543276123e+00,-5.609647377874413365e+00,-1.069182005559252424e+01,-1.836122207481772506e+01,-6.687674443275748004e+00,-1.962244792472157329e+00,-7.141947830983582435e+00,-7.824118665310574094e+00,-1.205201098121257886e+01
-1.979168196941749969e+01,-5.523013788055816775e+00,-1.793641859221217771e+00,-6.459023254292389993e+01,-7.065406356881655192e+00,-5.287870082296198149e+00,-5.352344921820264556e-01,-1.243644556157080316e+01,-3.732786610971953856e+00,-1.804671483017241584e+01
-1.070323628403040850e+01,-2.606457790348133852e+00,-3.348481546502227960e-03,-1.880642773985657001e+01,-1.083982121254508968e+01,-5.633248608347871667e+00,-2.724222665761542927e+00,-7.930229689098328372e+00,-1.152840747957097456e+01,-1.412055514571489923e+01
-9.996084235514206995e+00,-1.378531374074210447e+00,-1.633581505551432045e+01,-1.469834993848723848e+01,-2.432950736127091673e+01,-1.034336970830698377e+01,-1.046632598171448336e+01,-7.102638796888795625e+00,-2.907050599049024697e+01,-1.563611797856962760e+01
-1.792634654776580305e+01,-1.150785146649172308e+00,-1.194690733964898222e+01,-7.834702022909220354e+00,-2.134572272687507422e+01,-4.632222130142615413e+00,-1.058613739770731499e+01,-2.160475132375801621e+01,-1.418040689589286352e+01,-1.141849887161616905e+01
-1.406832458373135530e+01,-1.352102714212269063e+01,-6.234632838626925633e+00,-2.068964544305856634e+01,-1.623770036725421662e+01,-1.270276980018597257e+01,-2.833547746875919593e+00,-1.140792260390767865e+01,-4.757520254288960082e+00,-1.128862405587360840e+01
-9.432313512451154125e+00,-9.247865473432536731e+00,-4.192751551332221993e+00,-2.452272073703070276e+01,-1.075477718082811407e+01,-5.049721325904536151e+00,-1.350934479285415080e+01,-2.985809252267812131e+00,-6.544446657082155561e+00,-2.203934813304994123e+01
-5.684722170343974312e+00,-6.367968758546764363e+00,-4.818898256381989320e-01,-9.632075460835922698e+00,-8.763222729965121971e+00,-6.754999632952388922e+00,-1.891569373467567772e+01,-6.925147500166730197e+00,-7.337934721666998783e+00,-1.797133900950814223e+01
-1.352649412005994378e+01,-1.021836925940593233e+01,-6.294391274788174506e+00,-1.396528630086192102e+01,-1.160119392541623107e+01,-1.721215471074641812e+01,-1.616595850913153498e+00,-4.369125628144936435e+00,-9.215336851935575169e+00,-1.659809425387799209e+01
-3.193851280106557766e+01,-9.795504425554108607e+00,-1.183975140489085831e+01,-2.262886234346089509e+01,-1.019849573954352451e+01,-3.998466181857161850e+00,1.560406013302959138e+00,-7.126304560026213153e-01,-8.936957464194506429e+00,-2.333204608906612876e+01
