Sequence,Signal Type,Time (s),Frequency (Hz),Correlation Value
9,F,13.08,9933,0.8
9,G,14.13,7555,0.61
9,F,16.31,9885,0.9
9,A,17.47,6798,0.99
9,E,20.65,7675,0.82
9,B,22.14,6822,1.01
9,C,24.06,6822,1.0
9,E,25.86,7699,0.79
9,G,27.33,7531,0.63
9,D,29.18,7939,0.75
9,G,31.24,7363,0.82
9,D,33.04,7939,0.75
9,C,35.27,6774,0.99
9,A,37.03,6774,0.99
9,D,39.85,7795,0.79
9,C,41.88,6750,0.99
9,D,43.19,7843,0.89
9,G,45.29,7459,0.75
9,D,47.19,7987,0.69
9,A,49.3,6822,1.0
9,G,52.38,7387,0.74
9,A,54.67,6846,1.01
9,C,57.8,6870,1.01
9,E,59.67,7555,0.61
9,B,61.01,6726,0.99
9,E,62.89,7747,0.88
9,F,64.26,9789,0.81
9,X,65.24,6882,0.91
10,A,9.95,6774,1.0
10,E,13.04,7555,0.6
10,G,14.38,7387,0.74
10,A,16.59,6798,1.0
10,C,19.84,6774,0.99
10,B,21.6,6726,0.99
10,D,23.1,8036,0.69
10,B,25.19,6894,1.01
10,C,27.12,6774,0.99
10,G,28.86,7339,0.75
10,A,31.06,6750,0.99
10,D,33.75,7867,0.86
10,C,35.96,6726,0.98
10,B,37.87,6726,0.99
10,D,39.38,8012,0.69
10,B,41.4,6726,0.99
10,D,42.89,7819,0.89
10,E,44.98,7531,0.57
10,G,46.4,7531,0.65
10,F,48.7,9909,0.88
10,X,49.68,6882,0.93
11,A,9.95,6846,1.01
11,B,13.11,6822,1.0
11,C,14.94,6846,1.01
11,F,16.86,9789,0.85
11,G,17.92,7555,0.61
11,A,20.08,6870,1.02
11,B,23.12,6870,1.01
11,A,25.18,6846,1.0
11,F,28.2,10054,0.72
11,B,29.25,6774,0.99
11,A,31.31,6750,0.99
11,B,34.46,6822,1.0
11,G,36.44,7507,0.72
11,B,38.7,6750,0.99
11,E,40.59,7795,0.86
11,D,41.6,7771,0.81
11,X,43.61,6882,0.85
12,D,9.57,7891,0.8
12,G,11.6,7459,0.74
12,A,13.82,6870,1.02
12,E,16.88,7603,0.7
12,D,17.84,8036,0.64
12,B,19.85,6750,0.99
12,F,21.86,9981,0.77
12,A,23.0,6798,1.0
12,B,26.08,6822,1.0
12,D,27.64,7891,0.76
12,E,29.66,7531,0.6
12,A,31.16,6870,1.02
12,B,34.29,6894,1.01
12,A,36.1,6870,1.02
12,E,39.16,7627,0.73
12,B,40.59,6750,0.98
12,G,42.57,7339,0.74
12,D,44.52,7795,0.85
12,B,46.57,6846,1.01
12,D,48.08,7771,0.85
12,C,50.25,6846,0.98
12,F,52.03,10054,0.71
12,E,53.26,7603,0.71
12,A,54.72,6702,0.99
12,E,57.91,7651,0.78
12,B,59.26,6726,0.98
12,A,61.39,6750,1.0
12,G,64.47,7435,0.75
12,C,66.65,6750,0.99
12,F,68.6,9813,0.89
12,B,69.68,6894,1.01
12,E,71.64,7555,0.63
12,C,72.96,6798,0.99
12,E,74.65,7675,0.81
12,F,76.13,9933,0.85
12,D,76.77,7867,0.78
12,X,78.77,6882,0.89
13,C,9.96,6870,1.01
13,B,11.63,6822,1.01
13,G,13.68,7339,0.77
13,C,15.87,6894,1.01
13,E,17.64,7747,0.86
13,D,18.69,7747,0.79
13,G,20.71,7555,0.62
13,D,22.51,7963,0.76
13,C,24.77,6846,1.01
13,D,26.16,7771,0.84
13,G,28.21,7387,0.83
13,B,30.4,6894,1.01
13,F,32.31,9957,0.83
13,C,33.49,6702,0.99
13,B,35.23,6846,1.0
13,F,37.05,9813,0.86
13,G,38.16,7483,0.75
13,E,40.35,7795,0.87
13,F,41.7,9957,0.86
13,A,42.95,6822,1.0
13,B,46.14,6726,0.99
13,A,48.06,6894,1.01
13,F,51.29,9885,0.89
13,D,52.14,7795,0.78
13,C,54.33,6774,0.99
13,E,56.25,7795,0.83
13,A,57.53,6726,0.98
13,G,60.68,7459,0.85
13,X,62.79,6882,0.89
14,D,9.56,7915,0.81
14,B,11.63,6894,1.01
14,G,13.5,7363,0.77
14,C,15.69,6726,0.99
14,F,17.36,9813,0.77
14,C,18.5,6870,1.01
14,G,20.35,7531,0.67
14,A,22.59,6846,1.01
14,G,25.81,7387,0.71
14,C,28.02,6774,0.97
14,B,29.77,6870,1.01
14,F,31.78,9909,0.88
14,A,32.97,6822,1.0
14,G,36.1,7435,0.76
14,A,38.27,6822,1.0
14,E,41.38,7795,0.81
14,B,42.73,6846,1.01
14,A,44.8,6822,1.0
14,F,47.94,9813,0.88
14,G,49.15,7483,0.74
14,F,51.4,9909,0.81
14,D,52.26,7963,0.72
14,B,54.28,6870,1.01
14,A,56.3,6894,1.03
14,G,59.33,7579,0.52
14,A,61.48,6798,1.0
14,E,64.68,7603,0.68
14,F,66.16,9765,0.78
14,D,66.95,8036,0.71
14,A,69.1,6702,0.99
14,F,72.26,9933,0.87
14,E,73.28,7579,0.66
14,F,74.78,9957,0.83
14,G,75.79,7339,0.77
